Date,type,Name,Ticker,Open,High,Low,Volume,Multiplier
2021-06-24,Crypto,Bitcoin,BTC-USD,33682.80078125,35228.8515625,32385.21484375,33123368116,4
2021-06-25,Crypto,Bitcoin,BTC-USD,34659.10546875,35487.24609375,31350.884765625,40230904226,4
2021-06-26,Crypto,Bitcoin,BTC-USD,31594.6640625,32637.587890625,30184.501953125,38585385521,4
2021-06-27,Crypto,Bitcoin,BTC-USD,32287.5234375,34656.12890625,32071.7578125,35511640894,4
2021-06-28,Crypto,Bitcoin,BTC-USD,34679.12109375,35219.890625,33902.07421875,33892523752,4
2021-06-29,Crypto,Bitcoin,BTC-USD,34475.55859375,36542.109375,34252.484375,37901460044,4
2021-06-30,Crypto,Bitcoin,BTC-USD,35908.38671875,36074.7578125,34086.15234375,34059036099,4
2021-07-01,Crypto,Bitcoin,BTC-USD,35035.984375,35035.984375,32883.78125,37838957079,4
2021-07-02,Crypto,Bitcoin,BTC-USD,33549.6015625,33939.58984375,32770.6796875,38728974942,4
2021-07-03,Crypto,Bitcoin,BTC-USD,33854.421875,34909.26171875,33402.6953125,24383958643,4
2021-07-04,Crypto,Bitcoin,BTC-USD,34665.56640625,35937.56640625,34396.4765625,24924307911,4
2021-07-05,Crypto,Bitcoin,BTC-USD,35284.34375,35284.34375,33213.66015625,26721554282,4
2021-07-06,Crypto,Bitcoin,BTC-USD,33723.5078125,35038.53515625,33599.91796875,26501259870,4
2021-07-07,Crypto,Bitcoin,BTC-USD,34225.6796875,34997.6640625,33839.2890625,24796027477,4
2021-07-08,Crypto,Bitcoin,BTC-USD,33889.60546875,33907.90625,32133.18359375,29910396946,4
2021-07-09,Crypto,Bitcoin,BTC-USD,32861.671875,34042.29296875,32318.880859375,27436021028,4
2021-07-10,Crypto,Bitcoin,BTC-USD,33811.2421875,34209.0703125,33116.01171875,22971873468,4
2021-07-11,Crypto,Bitcoin,BTC-USD,33509.078125,34584.703125,33346.73828125,20108729370,4
2021-07-12,Crypto,Bitcoin,BTC-USD,34254.015625,34592.15625,32697.30859375,24321499537,4
2021-07-13,Crypto,Bitcoin,BTC-USD,33125.46875,33327.1015625,32261.419921875,19120856669,4
2021-07-14,Crypto,Bitcoin,BTC-USD,32723.845703125,33061.3984375,31639.125,21376531210,4
2021-07-15,Crypto,Bitcoin,BTC-USD,32827.875,33159.640625,31175.708984375,21300524237,4
2021-07-16,Crypto,Bitcoin,BTC-USD,31841.55078125,32218.40625,31100.673828125,23699476918,4
2021-07-17,Crypto,Bitcoin,BTC-USD,31397.30859375,31935.9453125,31223.990234375,18895018942,4
2021-07-18,Crypto,Bitcoin,BTC-USD,31533.884765625,32398.99609375,31215.4921875,18787986667,4
2021-07-19,Crypto,Bitcoin,BTC-USD,31800.01171875,31885.859375,30563.734375,20434789545,4
2021-07-20,Crypto,Bitcoin,BTC-USD,30838.28515625,31006.1875,29360.955078125,23148267245,4
2021-07-21,Crypto,Bitcoin,BTC-USD,29796.28515625,32752.326171875,29526.18359375,28203024559,4
2021-07-22,Crypto,Bitcoin,BTC-USD,32138.873046875,32576.400390625,31745.298828125,19555230518,4
2021-07-23,Crypto,Bitcoin,BTC-USD,32305.958984375,33581.55078125,32057.892578125,22552046192,4
2021-07-24,Crypto,Bitcoin,BTC-USD,33593.73046875,34490.390625,33424.859375,21664706865,4
2021-07-25,Crypto,Bitcoin,BTC-USD,34290.29296875,35364.92578125,33881.8359375,20856685287,4
2021-07-26,Crypto,Bitcoin,BTC-USD,35384.03125,40499.67578125,35287.3125,51022126212,4
2021-07-27,Crypto,Bitcoin,BTC-USD,37276.03515625,39406.94140625,36441.7265625,35097370560,4
2021-07-28,Crypto,Bitcoin,BTC-USD,39503.1875,40816.0703125,38862.4375,38702404695,4
2021-07-29,Crypto,Bitcoin,BTC-USD,39995.453125,40593.0703125,39352.05859375,27167146027,4
2021-07-30,Crypto,Bitcoin,BTC-USD,40027.484375,42235.546875,38397.35546875,33072782960,4
2021-07-31,Crypto,Bitcoin,BTC-USD,42196.3046875,42231.44921875,41110.83203125,25802845343,4
2021-08-01,Crypto,Bitcoin,BTC-USD,41460.84375,42541.6796875,39540.94140625,26688438115,4
2021-08-02,Crypto,Bitcoin,BTC-USD,39907.26171875,40419.1796875,38746.34765625,25595265436,4
2021-08-03,Crypto,Bitcoin,BTC-USD,39178.40234375,39750.03125,37782.05078125,26189830450,4
2021-08-04,Crypto,Bitcoin,BTC-USD,38213.33203125,39952.296875,37589.1640625,25372562724,4
2021-08-05,Crypto,Bitcoin,BTC-USD,39744.515625,41341.93359375,37458.00390625,35185031017,4
2021-08-06,Crypto,Bitcoin,BTC-USD,40865.8671875,43271.66015625,39932.1796875,38226483046,4
2021-08-07,Crypto,Bitcoin,BTC-USD,42832.796875,44689.859375,42618.56640625,40030862141,4
2021-08-08,Crypto,Bitcoin,BTC-USD,44574.4375,45282.3515625,43331.91015625,36302664750,4
2021-08-09,Crypto,Bitcoin,BTC-USD,43791.92578125,46456.83203125,42848.6875,38734079049,4
2021-08-10,Crypto,Bitcoin,BTC-USD,46280.84765625,46637.98828125,44705.5546875,33546019517,4
2021-08-11,Crypto,Bitcoin,BTC-USD,45599.703125,46735.6328125,45351.7109375,34319709073,4
2021-08-12,Crypto,Bitcoin,BTC-USD,45576.87890625,46228.91015625,43861.4453125,33723620826,4
2021-08-13,Crypto,Bitcoin,BTC-USD,44439.69140625,47831.9765625,44282.41796875,31744259539,4
2021-08-14,Crypto,Bitcoin,BTC-USD,47810.6875,48098.68359375,46177.6328125,31211354442,4
2021-08-15,Crypto,Bitcoin,BTC-USD,47096.66796875,47357.10546875,45579.58984375,30988958446,4
2021-08-16,Crypto,Bitcoin,BTC-USD,47019.9609375,47998.09765625,45700.3203125,32776876610,4
2021-08-17,Crypto,Bitcoin,BTC-USD,45936.45703125,47139.5703125,44512.41796875,33451362600,4
2021-08-18,Crypto,Bitcoin,BTC-USD,44686.75,45952.0625,44364.02734375,32194123075,4
2021-08-19,Crypto,Bitcoin,BTC-USD,44741.8828125,46970.76171875,43998.31640625,37204312299,4
2021-08-20,Crypto,Bitcoin,BTC-USD,46723.12109375,49342.15234375,46650.70703125,34706867452,4
2021-08-21,Crypto,Bitcoin,BTC-USD,49327.07421875,49717.01953125,48312.19921875,40585205312,4
2021-08-22,Crypto,Bitcoin,BTC-USD,48869.10546875,49471.609375,48199.94140625,25370975378,4
2021-08-23,Crypto,Bitcoin,BTC-USD,49291.67578125,50482.078125,49074.60546875,34305053719,4
2021-08-24,Crypto,Bitcoin,BTC-USD,49562.34765625,49878.76953125,47687.1171875,35361168834,4
2021-08-25,Crypto,Bitcoin,BTC-USD,47727.2578125,49202.87890625,47163.61328125,32646349931,4
2021-08-26,Crypto,Bitcoin,BTC-USD,49002.640625,49347.58203125,46405.78125,32666549568,4
2021-08-27,Crypto,Bitcoin,BTC-USD,46894.5546875,49112.78515625,46394.28125,34511076995,4
2021-08-28,Crypto,Bitcoin,BTC-USD,49072.5859375,49283.50390625,48499.23828125,28568103401,4
2021-08-29,Crypto,Bitcoin,BTC-USD,48911.25,49644.11328125,47925.85546875,25889650240,4
2021-08-30,Crypto,Bitcoin,BTC-USD,48834.8515625,48925.60546875,46950.2734375,31847007016,4
2021-08-31,Crypto,Bitcoin,BTC-USD,47024.33984375,48189.55078125,46750.09375,34730363427,4
2021-09-01,Crypto,Bitcoin,BTC-USD,47099.7734375,49111.08984375,46562.4375,39139399125,4
2021-09-02,Crypto,Bitcoin,BTC-USD,48807.84765625,50343.421875,48652.3203125,39508070319,4
2021-09-03,Crypto,Bitcoin,BTC-USD,49288.25,50982.2734375,48386.0859375,43206179619,4
2021-09-04,Crypto,Bitcoin,BTC-USD,50009.32421875,50545.58203125,49548.78125,37471327794,4
2021-09-05,Crypto,Bitcoin,BTC-USD,49937.859375,51868.6796875,49538.59765625,30322676319,4
2021-09-06,Crypto,Bitcoin,BTC-USD,51769.00390625,52700.94140625,51053.6796875,38884105426,4
2021-09-07,Crypto,Bitcoin,BTC-USD,52660.48046875,52853.765625,43285.20703125,65210059683,4
2021-09-08,Crypto,Bitcoin,BTC-USD,46827.76171875,47334.0546875,44561.39453125,49007762488,4
2021-09-09,Crypto,Bitcoin,BTC-USD,45774.7421875,47261.94921875,45669.73828125,38672657013,4
2021-09-10,Crypto,Bitcoin,BTC-USD,46396.6640625,47031.7421875,44344.484375,39154666597,4
2021-09-11,Crypto,Bitcoin,BTC-USD,44869.83984375,45969.29296875,44818.265625,34499835245,4
2021-09-12,Crypto,Bitcoin,BTC-USD,45206.62890625,46364.87890625,44790.4609375,27881980161,4
2021-09-13,Crypto,Bitcoin,BTC-USD,46057.21484375,46598.6796875,43591.3203125,40969943253,4
2021-09-14,Crypto,Bitcoin,BTC-USD,44960.05078125,47218.125,44752.33203125,38652152880,4
2021-09-15,Crypto,Bitcoin,BTC-USD,47098.0,48450.46875,46773.328125,30484496466,4
2021-09-16,Crypto,Bitcoin,BTC-USD,48158.90625,48486.828125,47079.55859375,31764293754,4
2021-09-17,Crypto,Bitcoin,BTC-USD,47771.00390625,48160.921875,46832.5234375,28727713711,4
2021-09-18,Crypto,Bitcoin,BTC-USD,47273.52734375,48791.78125,47087.28515625,28575630451,4
2021-09-19,Crypto,Bitcoin,BTC-USD,48268.85546875,48328.3671875,46919.8046875,26967722648,4
